Angle,Intensity
24.7091,720
24.7193,643
24.7295,637
24.7397,689
24.7499,654
24.7601,645
24.7703,639
24.7805,666
24.7906,645
24.8008,669
24.811,652
24.8212,609
24.8314,728
24.8416,681
24.8518,684
24.862,707
24.8722,679
24.8824,712
24.8926,669
24.9028,695
24.913,661
24.9232,703
24.9333,671
24.9435,658
24.9537,703
24.9639,688
24.9741,672
24.9843,672
24.9945,651
25.0047,698
25.0149,716
25.0251,690
25.0353,706
25.0455,681
25.0557,763
25.0659,672
25.076,737
25.0862,663
25.0964,692
25.1066,693
25.1168,736
25.127,675
25.1372,740
25.1474,667
25.1576,681
25.1678,713
25.178,722
25.1882,779
25.1984,718
25.2086,713
25.2187,737
25.2289,764
25.2391,728
25.2493,776
25.2595,758
25.2697,743
25.2799,783
25.2901,734
25.3003,790
25.3105,796
25.3207,802
25.3309,774
25.3411,696
25.3513,742
25.3614,771
25.3716,772
25.3818,756
25.392,743
25.4022,781
25.4124,764
25.4226,860
25.4328,757
25.443,783
25.4532,797
25.4634,774
25.4736,839
25.4838,770
25.494,792
25.5041,752
25.5143,777
25.5245,800
25.5347,845
25.5449,780
25.5551,824
25.5653,797
25.5755,821
25.5857,821
25.5959,834
25.6061,803
25.6163,848
25.6265,841
25.6367,802
25.6468,860
25.657,804
25.6672,835
25.6774,811
25.6876,801
25.6978,872
25.708,852
25.7182,813
25.7284,831
25.7386,819
25.7488,825
25.759,876
25.7692,851
25.7794,877
25.7895,856
25.7997,887
25.8099,865
25.8201,905
25.8303,869
25.8405,884
25.8507,874
25.8609,866
25.8711,905
25.8813,910
25.8915,932
25.9017,887
25.9119,866
25.9221,920
25.9322,905
25.9424,881
25.9526,952
25.9628,956
25.973,921
25.9832,921
25.9934,936
26.0036,874
26.0138,923
26.024,900
26.0342,938
26.0444,922
26.0546,936
26.0648,976
26.075,965
26.0851,933
26.0953,908
26.1055,918
26.1157,955
26.1259,995
26.1361,893
26.1463,989
26.1565,967
26.1667,940
26.1769,1043
26.1871,981
26.1973,978
26.2075,956
26.2177,1036
26.2278,999
26.238,948
26.2482,1021
26.2584,950
26.2686,932
26.2788,989
26.289,1016
26.2992,1016
26.3094,971
26.3196,1079
26.3298,1001
26.34,1041
26.3502,1041
26.3604,956
26.3705,979
26.3807,1034
26.3909,1067
26.4011,1031
26.4113,1032
26.4215,1048
26.4317,1002
26.4419,1004
26.4521,1107
26.4623,1074
26.4725,1003
26.4827,1131
26.4929,1048
26.5031,1095
26.5132,1108
26.5234,1073
26.5336,1104
26.5438,1108
26.554,1078
26.5642,1107
26.5744,1010
26.5846,1105
26.5948,1041
26.605,1124
26.6152,1158
26.6254,1049
26.6356,1105
26.6458,1094
26.6559,1139
26.6661,1125
26.6763,1134
26.6865,1144
26.6967,1131
26.7069,1162
26.7171,1085
26.7273,1181
26.7375,1086
26.7477,1168
26.7579,1129
26.7681,1167
26.7783,1123
26.7885,1165
26.7986,1123
26.8088,1152
26.819,1154
26.8292,1171
26.8394,1203
26.8496,1151
26.8598,1158
26.87,1190
26.8802,1243
26.8904,1215
26.9006,1231
26.9108,1174
26.921,1226
26.9312,1185
26.9413,1247
26.9515,1182
26.9617,1182
26.9719,1236
26.9821,1258
26.9923,1221
27.0025,1189
27.0127,1251
27.0229,1281
27.0331,1212
27.0433,1252
27.0535,1258
27.0637,1267
27.0739,1238
27.084,1268
27.0942,1270
27.1044,1215
27.1146,1302
27.1248,1305
27.135,1245
27.1452,1284
27.1554,1270
27.1656,1208
27.1758,1343
27.186,1322
27.1962,1246
27.2064,1309
27.2166,1279
27.2267,1367
27.2369,1328
27.2471,1330
27.2573,1290
27.2675,1315
27.2777,1352
27.2879,1321
27.2981,1302
27.3083,1291
27.3185,1338
27.3287,1410
27.3389,1380
27.3491,1375
27.3593,1412
27.3694,1319
27.3796,1332
27.3898,1306
27.4,1378
27.4102,1353
27.4204,1334
27.4306,1314
27.4408,1416
27.451,1288
27.4612,1371
27.4714,1380
27.4816,1406
27.4918,1391
27.502,1437
27.5121,1412
27.5223,1382
27.5325,1498
27.5427,1408
27.5529,1391
27.5631,1369
27.5733,1460
27.5835,1435
27.5937,1492
27.6039,1415
27.6141,1411
27.6243,1462
27.6345,1403
27.6447,1442
27.6548,1436
27.665,1451
27.6752,1430
27.6854,1505
27.6956,1420
27.7058,1500
27.716,1485
27.7262,1463
27.7364,1466
27.7466,1481
27.7568,1452
27.767,1489
